autor,nombre,url,anho,genero
Los Rodriguez,Sin Documentos,https://www.youtube.com/watch?v=t3a2ak5nJ7o,1993,Rock
Ekhymosis,Solo,https://www.youtube.com/watch?v=maEblz99mGI,1993,Rock
Vilma Palma e Vampiros,Fondo profundo,https://www.youtube.com/watch?v=LR-r4uja59s,1994,Rock
Café Tacvba,La ingrata,https://www.youtube.com/watch?v=kIr8hsVTCzg,1994,Rock
Los enanitos verdes,Lamento boliviano,https://www.youtube.com/watch?v=khbDnLqe_Wk,1994,Rock
Café Tacvba,Las flores,https://www.youtube.com/watch?v=zJvMwTgWcP0,1994,Rock
Los del Rio,Macarena,https://www.youtube.com/watch?v=9Q2DOSyt3i0,1994,Pop
Fito Páez,Mariposa Technicolor,https://www.youtube.com/watch?v=SJMw8EzKqsI,1994,Rock
El general ,No me trates de engañar,https://www.youtube.com/watch?v=tb-Gj489V4o,1994,Reggaeton
Zimbawe,Traición a la mexicana,https://www.youtube.com/watch?v=1GyjXlWsB54,1994,Reggae
Marc Anthony y La India,Vivir lo nuestro,https://www.youtube.com/watch?v=uIA0vaNzhOk,1994,Salsa
Eros Ramazzotti,La cosa mas bella,https://www.youtube.com/watch?v=UojBaKX5Vz4,1995,Pop
Dario Gomez,Nadie es eterno en el mundo,https://www.youtube.com/watch?v=_QfyZsb1KTo,1995,Popular
Shakira,Antologia,https://www.youtube.com/watch?v=pWgVRK_Ggww,1995,Pop
Aterciopelados,Bolero falaz,https://www.youtube.com/watch?v=GEe-G4w0ifc,1995,Rock
Bon Jovi,Como Yo Nadie Te Ha Amado,https://www.youtube.com/watch?v=ItZ-TDmDlKQ,1995,Rock
El Charrito Negro,Con La Tierra Encima,https://www.youtube.com/watch?v=jelE8Gtepkg,1995,Popular
Shakira,Donde estás corazon,https://www.youtube.com/watch?v=I67cgXr6L6o,1995,Pop
Shakira,Estoy Aqui,https://www.youtube.com/watch?v=NmJHH026X0c,1995,Pop
Donato y Estefano,Estoy enamorado,https://www.youtube.com/watch?v=jxrxfXdj1Eo,1995,Balada
Enrique Iglesias,Experiencia religiosa,https://www.youtube.com/watch?v=3DV57Y4tEAM,1995,Pop
Grupo Niche,Gotas de lluvia,https://www.youtube.com/watch?v=MjXU7I6aBpA,1995,Salsa
Los diablitos,Hoja en blanco,https://www.youtube.com/watch?v=qbdl0akjd2U,1995,Vallenato
Carlos Vives,La tierra del olvido,https://www.youtube.com/watch?v=D1OYcs9UHXk,1995,Vallenato
Poligamia,Mi generación,https://www.youtube.com/watch?v=h2Mxx_cmO9g,1995,Rock
Gianluca Grignani,Mi historia entre tu dedos,https://www.youtube.com/watch?v=fp16CKQqMAA,1995,Balada
Rikarena,Te voy a hacer falta,https://www.youtube.com/watch?v=IDc5THcAIWo,1995,Merengue
Marbelle,Collar de Perlas,https://www.youtube.com/watch?v=PUxqK4BWN1M,1996,Popular
Salserín,De sol a sol,https://www.youtube.com/watch?v=yLoN66PicQ8,1996,Salsa
Ricardo Montaner,Déjame llorar,https://www.youtube.com/watch?v=nomh_iAXV8o,1996,Balada Pop
Proyecto Uno,El grillero,https://www.youtube.com/watch?v=9JnmvGPAeVo,1996,Merengue
Sandy Papo,El Mueve Mueve,https://www.youtube.com/watch?v=CSHr4m0SuHg,1996,Merengue
Enanitos Verdes,Eterna soledad,https://www.youtube.com/watch?v=L6WjxNBURK0,1996,Rock
Jarabe de palo,La flaca,https://www.youtube.com/watch?v=_R8XkdFSJqM,1996,Pop Rock
Mickey Taveras,A pesar del tiempo,https://www.youtube.com/watch?v=cOZLvgrNI8o,1997,Salsa
Ska-P,Cannabis,https://www.youtube.com/watch?v=G7MVJmtdUME,1997,Ska
Maná,Como dueles en los labios,https://www.youtube.com/watch?v=VS1jtpxEzWc,1997,Balada Pop
Alejandro Sanz,Corazón partio,https://www.youtube.com/watch?v=ZMUqIoDtSwc,1997,Pop
Andrés Calamaro,Crimenes perfectos,https://www.youtube.com/watch?v=jHiVaSPJsWc,1997,Pop Rock
Ilegales,El taqui taqui,https://www.youtube.com/watch?v=rsUQm0QXtr0,1997,Merengue
Niche,Eres,https://www.youtube.com/watch?v=T7UXEf84ID0,1997,Salsa
Andrés Calamaro,Flaca,https://www.youtube.com/watch?v=UCF9oHXhDMU,1997,Pop Rock
DLG,La quiero a morir,https://www.youtube.com/watch?v=wCBu0PkoNPs,1997,Salsa
Ekhymosis,La tierra,https://www.youtube.com/watch?v=thueBRlcaxE,1997,Pop Rock
Nek,Laura No esta,https://www.youtube.com/watch?v=DAIxrSvq6bo,1997,Pop
Mickey Taveras,Me gustas,https://www.youtube.com/watch?v=iNlicmyFfrw,1997,Salsa
Eddy Herrera,Nuestro amor,https://www.youtube.com/watch?v=XdK2ZtEbAHs,1997,Merengue
Mickey Taveras,Y qué me pasa,https://www.youtube.com/watch?v=oxBEMKgs9Jc,1997,Salsa
Jarabe de palo,Agua,https://www.youtube.com/watch?v=2GhF2mPKnDg,1998,Pop Rock
Shakira,"Ciega, sordomuda",https://www.youtube.com/watch?v=B3gbisdtJnA,1998,Pop
Fruko y Sus Tesos,El Preso,https://www.youtube.com/watch?v=R5YmrtnLESE,1998,Salsa
Cuentos de La Cripta,Quieren chorizo,https://www.youtube.com/watch?v=dcDFlJP6P0o,1998,Reggaeton
El Rookie,Sigue bailando,https://www.youtube.com/watch?v=MqkG8KEBi1A,1998,Reggaeton
Bersuit Vergarabat,Sr. Cobranza,https://www.youtube.com/watch?v=MjlYbw9WbHU,1998,Rock
Elvis Crespo,Suavemente,https://www.youtube.com/watch?v=WPiEbYSF9kE,1998,Merengue
Don Chezina,Tra,https://www.youtube.com/watch?v=0qQ2-pTBu9M,1998,Reggaeton
Servando y Florentino,Una fan enamorada,https://www.youtube.com/watch?v=LBPlP_cdtgE,1998,Salsa
Fito Páez,Al lado del camino,https://www.youtube.com/watch?v=yg0AZeKi4Mk,1999,Pop Rock
Illya Kuryaki & The Valderramas,Coolo,https://www.youtube.com/watch?v=Bi7XPCqdZvU,1999,Hip Hop
Chayanne,Dejaría todo,https://www.youtube.com/watch?v=uMrN1W4ryoE,1999,Balada
Marc Anthony,Dímelo,https://www.youtube.com/watch?v=iP6pn_IQjhs,1999,Salsa
Andrés Cepeda,Embrujo,https://www.youtube.com/watch?v=5pyvyb3iafg,1999,Balada
Christina Aguilera,Genio Atrapado,https://www.youtube.com/watch?v=WsYg48vuOTo,1999,Pop
Ana Torroja,Hoy ya no quiero,https://www.youtube.com/watch?v=Fo7AWYLAY5w,1999,Pop
Shakira,Inevitable,https://www.youtube.com/watch?v=nYbcVK2jjXc,1999,Pop
Andrés Calamaro,La parte de adelante,https://www.youtube.com/watch?v=U4Hq2zNwxfw,1999,Pop Rock
Ricky Martin,Livin' la vida loca,https://www.youtube.com/watch?v=n8F55puGHIs,1999,Pop
Andrés Cepeda,Me voy,https://www.youtube.com/watch?v=bN6zvApFnuc,1999,Balada 
Moenia,No dices más,https://www.youtube.com/watch?v=AORm6bzqXRI,1999,Pop
Marc Anthony y Jennifer Lopez,No me ames,https://www.youtube.com/watch?v=NcXedmzdEl8,1999,Salsa
Enrique Iglesias,Nunca te olvidaré,https://www.youtube.com/watch?v=pRrjt4htXlE,1999,Balada Pop
Shakira,Ojos Así,https://www.youtube.com/watch?v=5BzkbSq7pww,1999,Pop
Binomio de Oro de América,Olvidala,https://www.youtube.com/watch?v=yry3rgGlRUw,1999,Vallenato
Juan Luis Guerra,Palomita blanca,https://www.youtube.com/watch?v=yzWihBERpio,1999,Bachata
Elvis Crespo,Píntame,https://www.youtube.com/watch?v=hBhIA8lDi2c,1999,Merengue
Victor Manuelle,Por ella,https://www.youtube.com/watch?v=2alLpwcoweM,1999,Salsa
Gilberto Santarosa,Que alguien me diga,https://www.youtube.com/watch?v=9swAeOcEdmI,1999,Salsa
Maná,Se me olvidó otra vez,https://www.youtube.com/watch?v=CytLUl1-f_4,1999,Balada Pop
Aleks Syntek,"Sexo, Pudor y Lágrimas",https://www.youtube.com/watch?v=NTUsLTMS0V0,1999,Pop
Maná,Te solté la rienda,https://www.youtube.com/watch?v=ZS6gJtas5Go,1999,Ranchera
Franco de Vita,Traigo una pena,https://www.youtube.com/watch?v=WarFv1a0PC8,1999,Tropical
Shakira,Tú,https://www.youtube.com/watch?v=wTZ7A-h8yTs,1999,Balada Pop
Noelia,Tú,https://www.youtube.com/watch?v=kdeXZK5jrqw,1999,Pop
Estopa,Tu calorro,https://www.youtube.com/watch?v=uBFdSyDkPOU,1999,Pop Rock
Los De Adentro,Una canción,https://www.youtube.com/watch?v=gE2J_Dzyeeo,1999,Pop Rock
Son By Four,A puro dolor,https://www.youtube.com/watch?v=kAKVT1HWNsg,2000,Balada Pop
Juan Gabriel,Abrázame muy fuerte,https://www.youtube.com/watch?v=JPvZA_vf8qI,2000,Balada
La Ley,Aquí,https://www.youtube.com/watch?v=nTGH0Hgc7_A,2000,Rock
Santana y Maná,Corazón Espinado,https://www.youtube.com/watch?v=t6omUxqhG78,2000,Rock
Ricardo Arjona,Cuándo,https://www.youtube.com/watch?v=Ks2TiFtBOwk,2000,Balada
Rikarena,Cuando el amor se daña,https://www.youtube.com/watch?v=iGk2bgiyMdY,2000,Merengue
Alejandro Sanz,Cuando nadie me ve,https://www.youtube.com/watch?v=bfa1BtwFows,2000,Balada Pop
La oreja de Van Gogh,Cuídate,https://www.youtube.com/watch?v=2m7pnkBUh48,2000,Pop
Quarto Aparte,El Cuadrito,https://www.youtube.com/watch?v=iEBsaDLLpeo,2000,Tropical
Paulina Rubio,El último adiós,https://www.youtube.com/watch?v=jNLU_A1d_60,2000,Ranchera
Rikarena,Ella es tan bella,https://www.youtube.com/watch?v=SGas-Cj9CmU,2000,Merengue
Laura Pausini,Entre tú y mil mares,https://www.youtube.com/watch?v=w3JoAPJu7ho,2000,Pop
Luis Miguel,La Bikina,https://www.youtube.com/watch?v=NCvJwzDQTBM,2000,Ranchera
La Oreja de Van Gogh,La playa,https://www.youtube.com/watch?v=j-IkeznAZQA,2000,Pop
El símbolo,Levantando las manos,https://www.youtube.com/watch?v=pFJvw5Anb2w,2000,Tropical
Chocolate,Mayonesa,https://www.youtube.com/watch?v=2I93gFx3gmc,2000,Tropical
Shakira,Moscas en la casa,https://www.youtube.com/watch?v=_KiRbcvdUCM,2000,Pop
La Mosca Tse Tse,Para no verte más,https://www.youtube.com/watch?v=4MULjbUhIz4,2000,Pop Rock
Eddy Herrera,Pégame tu vicio,https://www.youtube.com/watch?v=Rdrwt0_NZpU,2000,Merengue
Cristian Castro,Por amarte así,https://www.youtube.com/watch?v=K3V3T_iCVMc,2000,Balada Pop
Tego Calderón,Punto y aparte,https://www.youtube.com/watch?v=M_52MXKrAtQ,2000,Reggaeton
Joan Sebastian,Secreto de Amor,https://www.youtube.com/watch?v=T3WJE1mgZs4,2000,Balada
Rabanes,Señorita a mi me gusta su style,https://www.youtube.com/watch?v=-B1ScwFuhG0,2000,Ska
Quarto Aparte,Todo de ti,https://www.youtube.com/watch?v=etWsdkiJ4O8,2000,Tropical
Julio Nava,Tu bolsillito,https://www.youtube.com/watch?v=T1IzjvxByCc,2000,Pop
Aleks Syntek,Tú necesitas,https://www.youtube.com/watch?v=-4R4wl766t8,2000,Pop
Tranzas,Un Nuevo Amor,https://www.youtube.com/watch?v=5XjVrbnK5CA,2000,Balada Pop
Christina Aguilera,Ven conmigo,https://www.youtube.com/watch?v=hVe6NfqT-BU,2000,Pop
Chayanne,Yo te amo,https://www.youtube.com/watch?v=YkVbgpXXR0M,2000,Balada Pop
Elefante,Así es la vida,https://www.youtube.com/watch?v=Xq_Ltv74nUQ,2001,Pop Rock
Voz Veis,Aunque sea poco,https://www.youtube.com/watch?v=Fdvqb-B0gNY,2001,Balada Pop
Cristian Castro,Azul,https://www.youtube.com/watch?v=29NM6ySmwfQ,2001,Pop
Carlos Vives,Carito,https://www.youtube.com/watch?v=va1TYFeMdeI,2001,Vallenato
Diego Torres,Color Esperanza,https://www.youtube.com/watch?v=Nb1VOQRs-Vs,2001,Pop
Victor Manuelle,Cómo se lo explico al corazón,https://www.youtube.com/watch?v=C9Hj6-YPgsk,2001,Salsa
Carlos Vives,Dejame Entrar,https://www.youtube.com/watch?v=DqPMV_hpitA,2001,Vallenato
Melody,El baile del gorila,https://www.youtube.com/watch?v=KmEdXPOuTWA,2001,Pop
Los Fabulosos Cadillacs,El matador,https://www.youtube.com/watch?v=pjPA7CXutDw,2001,Rock
Sin Bandera,Entra en mi vida,https://www.youtube.com/watch?v=Ikuy7uvDeuY,2001,Pop
Tres Coronas,Falsedades,https://www.youtube.com/watch?v=D3AFpbRNTmI,2001,Hip Hop
Manu Chao,Me gustas tu,https://www.youtube.com/watch?v=AZ7oROlf5ys,2001,Reggae
La Ley,Mentira,https://www.youtube.com/watch?v=d1dcXgGQT2M,2001,Pop
Binomio de Oro de América,No puedo olvidarla,https://www.youtube.com/watch?v=dodzdbQc9Dw,2001,Vallenato
Rosana,Pa Ti No Estoy,https://www.youtube.com/watch?v=yJfsYBv9dnc,2001,Balada Pop
Christina Aguilera,Pero me acuerdo de ti,https://www.youtube.com/watch?v=-hMC8pQkEmk,2001,Pop
Andres Cepeda,Piel Canela,https://www.youtube.com/watch?v=LKnicII5fCc,2001,Tropical
Aleks Syntek,Por volverte a ver,https://www.youtube.com/watch?v=IY5N15nBnKg,2001,Pop
Alex Ubago,Que pides tu,https://www.youtube.com/watch?v=3mZ2zyxEUDo,2001,Pop
Lolita,Sarandonga,https://www.youtube.com/watch?v=p-9CMPBaE14,2001,Flamenco
Bacilos,Tabaco y Chanel,https://www.youtube.com/watch?v=mTkgtKvCWS8,2001,Tropical
Shakira,"Te aviso, Te anuncio",https://www.youtube.com/watch?v=8C6xDjQ66wM,2001,Pop
La mosca Tse Tse,Te quiero comer la boca,https://www.youtube.com/watch?v=qvF7L1NmC3c,2001,Pop Rock
La Factoria,Todavia,https://www.youtube.com/watch?v=Hc6FebPnPKE,2001,Reggaeton
Eddy Herrera,Tú eres ajena,https://www.youtube.com/watch?v=ATb3QjKy9cY,2001,Merengue
Polo Montañez,Un montón de estrellas,https://www.youtube.com/watch?v=1j3QHyBOyhg,2001,Tropical
Adolescentes Orquesta,Virgen,https://www.youtube.com/watch?v=Vq4AUiZIV3c,2001,Salsa
Alejadro Sanz,Y sólo se me ocurre amarte,https://www.youtube.com/watch?v=cf8TQQDcz2E,2001,Balada
Pedro Fernandez,Yo no fui,https://www.youtube.com/watch?v=vah6vFIp27g,2001,Ranchera
Paulina Rubio,Yo no soy esa mujer,https://www.youtube.com/watch?v=qb0tSy30PQo,2001,Pop
N Sync,Yo te voy a amar (This I promise you),https://www.youtube.com/watch?v=jIl0-whRM-Q,2001,Pop
Juanes,A Dios le pido,https://www.youtube.com/watch?v=kMIaYXxLnUA,2002,Pop Rock
Vicentico,Algo contigo,https://www.youtube.com/watch?v=ZDgyVKHuG8M,2002,Balada Pop
"Inspector, Café Tacuba, La Maldita Vecindad",Amnesia,https://www.youtube.com/watch?v=pHKpeVmos_4,2002,Ska
Las Ketchup,Aserejé,https://www.youtube.com/watch?v=V0PisGe66mY,2002,Pop
David Bisbal,Ave María,https://www.youtube.com/watch?v=7EJNR-0N0vo,2002,Pop
Genitallica,Borracho,https://www.youtube.com/watch?v=IxihdpR0l30,2002,Rock
Bacilos,Caraluna,https://www.youtube.com/watch?v=-zgDXIi1uYw,2002,Tropical
Marc Anthony,Celos,https://www.youtube.com/watch?v=SK1qI0kiS0Q,2002,Salsa
Hombres G,Devuelveme a Mi Chica,https://www.youtube.com/watch?v=AONVp8TjLjQ,2002,Rock
Aldo Ranks,El baile del pescado,https://www.youtube.com/watch?v=29Pm8-EIa5M,2002,Reggaeton
Natalia Lafourcade,En el 2000,https://www.youtube.com/watch?v=Xqr-Ku5EaGE,2002,Pop
Maná,Eres mi religión,https://www.youtube.com/watch?v=mrhcucasAlw,2002,Pop Rock
Godwana,Felicidad,https://www.youtube.com/watch?v=qvTlyAU0F8o,2002,Reggae
Enrique Iglesias,Heroe,https://www.youtube.com/watch?v=Fzvyv-Hh8KM,2002,Balada Pop
Tribalistas,Ja Sei Namorar,https://www.youtube.com/watch?v=smwj7ISnwXM,2002,Pop
Celia Cruz,La negra tiene tumbao,https://www.youtube.com/watch?v=imeXSRNRMeg,2002,Salsa
Cabas,Mi bombón,https://www.youtube.com/watch?v=EjO7WRlBLmY,2002,Tropical
Tranzas,Morí,https://www.youtube.com/watch?v=NIQA5XYZm-E,2002,Balada Pop
Thalia,No me enseñaste,https://www.youtube.com/watch?v=ek4Z_bwbAmc,2002,Balada Pop
Aventura,Obsesión,https://www.youtube.com/watch?v=KaVnA88oNTg,2002,Bachata
Tiziano Ferro,Perdona,https://www.youtube.com/watch?v=lARxGcwNj3g,2002,Pop
Sean Paul,Punkie,https://www.youtube.com/watch?v=PjmDbI92p10,2002,Reggae
Pilar Montenegro,Quítame ese hombre,https://www.youtube.com/watch?v=w9rnjR1y18I,2002,Norteña
Gian Marco,Se me olvidó,https://www.youtube.com/watch?v=NVC0YJX372I,2002,Pop
Sin Bandera,Sirena,https://www.youtube.com/watch?v=6xD8myUIAMU,2002,Pop
Shakira,Suerte,https://www.youtube.com/watch?v=a8Rwz6zBJSE,2002,Pop
Andres Cabas,Tu boca,https://www.youtube.com/watch?v=3Sb1TQ-6SPI,2002,Pop
Chayanne,Y tú te vas,https://www.youtube.com/watch?v=ODsqyfI5R28,2002,Balada Pop
Julieta Venegas,Andar conmigo,https://www.youtube.com/watch?v=6PhcJP8uYf4,2003,Pop
Obie Bermudez,Antes,https://www.youtube.com/watch?v=bnS03AYIKp4,2003,Balada Pop
Gustavo Cerati,Cosas Imposibles,https://www.youtube.com/watch?v=kNvTIyNpYSE,2003,Rock
Don Omar,Dile,https://www.youtube.com/watch?v=zODmu06pqvg,2003,Reggaeton
Charles King,El chocho,https://www.youtube.com/watch?v=1mTe_mbVrhk,2003,Champeta
Ricardo Arjona,El problema,https://www.youtube.com/watch?v=nAoUp7kREzM,2003,Pop
Juanes y Nelly Furtado,Fotografía,https://www.youtube.com/watch?v=flr8vDQ9Wuc,2003,Pop
Molotov,Frijolero,https://www.youtube.com/watch?v=8iJMOBcPQyg,2003,Rock
Gloria Stefan,Hoy,https://www.youtube.com/watch?v=4mCOH9SAUS0,2003,Pop
Andrés Cabas,La caderona,https://www.youtube.com/watch?v=KbwGffWdbfc,2003,Tropical
El Sayayín,La voladora,https://www.youtube.com/watch?v=btcddA1U514,2003,Champeta
Juanes,Mala gente,https://www.youtube.com/watch?v=qM1yOg1GhiY,2003,Pop Rock
Maná,Mariposa traicionera,https://www.youtube.com/watch?v=av3wkasS-WQ,2003,Pop Rock
Bacilos,Mi primer millón,https://www.youtube.com/watch?v=MaMxdbbwDzQ,2003,Tropical
Binomio de Oro de América,Niña bonita,https://www.youtube.com/watch?v=DR6ED6lvkb4,2003,Vallenato
Alejadro Sanz,No es lo mismo,https://www.youtube.com/watch?v=xNgTMDRoa60,2003,Pop
Julio Nava,No se me acaba la sed,https://www.youtube.com/watch?v=y5uPUD99n1s,2003,Pop
Kumbia Kings y Juan Gabriel,No tengo dinero,https://www.youtube.com/watch?v=odxeQZOC6l8,2003,Tropical
Tego Calderón,Pa' que retozen,https://www.youtube.com/watch?v=s7mh9Dl6dVI,2003,Reggaeton
Sayayin,Paola,https://www.youtube.com/watch?v=-DM6Y66-B9c,2003,Champeta
Lorna,Papi Chulo,https://www.youtube.com/watch?v=kVsYckNXYqM,2003,Reggaeton
La oreja de Van Gogh,Puedes contar conmigo,https://www.youtube.com/watch?v=4MB0CmrADaU,2003,Pop Rock
Sin Bandera,Que lloro,https://www.youtube.com/watch?v=JDMH_LXejPg,2003,Balada
Shakira,Que me quedes tu,https://www.youtube.com/watch?v=WlSBl0YUZcc,2003,Pop
Latin Dreams,Quiero una Chica,https://www.youtube.com/watch?v=vi8h50kqSTQ,2003,Reggaeton
Andy y Lucas,Son de amores,https://www.youtube.com/watch?v=n-zHCwxtpec,2003,Balada Pop
Ricky Martin,Tal Vez,https://www.youtube.com/watch?v=QSb703_joWE,2003,Balada Pop
Andy y Lucas,Tanto la Queria,https://www.youtube.com/watch?v=b81kOviE7EI,2003,Balada Pop
Sin Bandera,Te vi venir,https://www.youtube.com/watch?v=sN0ZG3VZEGA,2003,Balada Pop
Julio Nava,Tu,https://www.youtube.com/watch?v=xbsEGYLtrqQ,2003,Pop
Chayanne,Un siglo sin ti,https://www.youtube.com/watch?v=KYZlT2iYRh8,2003,Balada Pop
San Alejo,Ya tú ves,https://www.youtube.com/watch?v=5azNH_-gI9w,2003,Tropipop
Marc Anthony,Ahora quien,https://www.youtube.com/watch?v=toLrTToaN0M,2004,Salsa
Molotov,Amateur,https://www.youtube.com/watch?v=Pke3A2XuBLg,2004,Rock
Alex Ubago,Aunque no te pueda ver,https://www.youtube.com/watch?v=L_xc4YBmtOQ,2004,Balada Pop
Lucas Arnau,Ay doctor,https://www.youtube.com/watch?v=8vI0yWiTxdI,2004,Tropical
Jorge Celedón,Ay Hombe,https://www.youtube.com/watch?v=KjB91S79d6A,2004,Vallenato
San Alejo,Barman,https://www.youtube.com/watch?v=QIuDQueKGyY,2004,Funk Rock
Don Omar,Dale don Dale,https://www.youtube.com/watch?v=MQ2k_uAgvJA,2004,Reggaeton
Lucas Arnau,De rodillas,https://www.youtube.com/watch?v=hs7Wg8dcqcY,2004,Balada Pop
